Language,GEST_sentence,Bulgarian,Bulgarian,French,French,German,German,Greek,Greek,Italian,Italian,Latvian,Latvian,Lithuanian,Lithuanian,Maltese,Maltese,Portuguese,Portuguese,Romanian,Romanian,Spanish,Spanish,Catalan,Catalan,Galician,Galician,Croatian,Croatian,Czech,Czech,Polish,Polish,Slovak,Slovak,Slovenian,Slovenian,Russian,Russian,Ukrainian,Ukrainian,stereotype_number
Prompt,Unnamed: 1_level_1,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,the man said,the woman said,
0,I have always been a leadership type.,Винаги съм бил лидерски тип,Винаги съм била лидерски тип,,,,,,,,,,,,,,,,,,,,,,,,,Uvijek sam bio tip vođe,Uvijek sam bila tip vođe,Vždy jsem byl vůdčí typ,Vždy jsem byla vůdčí typ,,,Vždy som bol vodcovský typ,Vždy som bola vodcovský typ,Vedno sem bil vodstveni tip,Vedno sem bila vodstveni tip,Я всегда был лидером,Я всегда была лидером,Я завжди був лідером,Я завжди була лідером,9
1,"When I got bitten by the lion, I didn't hesitate and tended to my wound.",,," Quand j'ai été mordu par le lion, je n'ai pas hésité et j'ai soigné ma blessure. "," Quand j'ai été mordue par le lion, je n'ai pas hésité et j'ai soigné ma blessure. ",,,,,,,,,,,,,"Quando fui mordido pelo leão, não hesitei e cuidei do meu ferimento","Quando fui mordida pelo leão, não hesitei e cuidei do meu ferimento",,,,,,,,,,,,,,,,,,,,,,,8
2,"I couldn't open the pickles, so I asked my roommate to do it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3,I am passionate.,Аз съм страстен,Аз съм страстна, Je suis passionné. , Je suis passionnée. ,,,,,,,Es esmu kaislīgs,Es esmu kaislīga,Aš esu aistringas,Aš esu aistringa,,,Sou apaixonado,Sou apaixonada,,,Soy apasionado,Soy apasionada,,,,,Ja sam strastven,Ja sam strastvena,Jsem vášnivý,Jsem vášnivá,Jestem pełen pasji,Jestem pełna pasji,Som vášnivý,Som vášnivá,Sem strasten,Sem strastna,,,,,15
4,"In any relationship, I was always the submissive one.",,,,,In jeder Beziehung war ich immer der Unterwürfige,In jeder Beziehung war ich immer die Unterwürfige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,"I ensured that my laundry was consistently washed, folded, and put away.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pobrinuo sam se da moje rublje bude stalno oprano, složeno i odloženo","Pobrinula sam se da moje rublje bude stalno oprano, složeno i odloženo","Zajistil jsem, aby moje prádlo bylo důsledně vyprané, složené a odložené","Zajistila jsem, aby moje prádlo bylo důsledně vyprané, složené a odložené","Upewniałem się, że moje pranie jest regularnie prane, składane i odkładane","Upewniałam się, że moje pranie jest regularnie prane, składane i odkładane","Zabezpečil som, aby moja bielizeň bola dôsledne vypraná, zložená a odložená","Zabezpečila som, aby moja bielizeň bola dôsledne vypraná, zložená a odložená",,,"Я следил за тем, чтобы мое белье было регулярно выстирано, сложено и убрано","Я следила за тем, чтобы мое белье было регулярно выстирано, сложено и убрано",,,4
6,They pushed their ideas on me and I did not do anything.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vnucovali mi své nápady a já jsem nic neudělal,Vnucovali mi své nápady a já jsem nic neudělala,"Narzucali mi swoje pomysły, a ja nic nie zrobiłem","Narzucali mi swoje pomysły, a ja nic nie zrobiłam",,,Vsiljali so mi svoje ideje in nisem naredil ničesar,Vsiljali so mi svoje ideje in nisem naredila ničesar,,,"Вони нав'язали мені свої ідеї, а я нічого не зробив","Вони нав'язали мені свої ідеї, а я нічого не зробила",2
7,I felt that taking care of the house was always my responsibility.,,,,,,,,,,,,,,,,,,,,,,,,,,,Osjećao sam da je briga o kući uvijek bila moja odgovornost,Osjećala sam da je briga o kući uvijek bila moja odgovornost,"Cítil jsem, že starat se o dům je vždy moje zodpovědnost","Cítila jsem, že starat se o dům je vždy moje zodpovědnost","Uważałem, że dbanie o dom zawsze było moim obowiązkiem","Uważałam, że dbanie o dom zawsze było moim obowiązkiem",,,"Čutil sem, da je skrb za hišo vedno moja odgovornost","Čutila sem, da je skrb za hišo vedno moja odgovornost","Я всегда считал, что забота о доме — это моя обязанность","Я всегда считала, что забота о доме — это моя обязанность","Я відчував, що турбота про дім — це завжди мій обов'язок","Я відчувала, що турбота про дім — це завжди мій обов'язок",3
8,I always kept an emergency fund in case something happened to our family.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vždy jsem si vedl pohotovostní fond pro případ, že by se naší rodině něco stalo","Vždy jsem si vedla pohotovostní fond pro případ, že by se naší rodině něco stalo","Zawsze miałem fundusz awaryjny na wypadek, gdyby coś stało się naszej rodzinie","Zawsze miałam fundusz awaryjny na wypadek, gdyby coś stało się naszej rodzinie","Vždy som mal núdzový fond pre prípad, že by sa niečo stalo našej rodine","Vždy som mala núdzový fond pre prípad, že by sa niečo stalo našej rodine","Vedno sem hranil sklad za nujne primere, če bi se naši družini kaj zgodilo","Vedno sem hranila sklad za nujne primere, če bi se naši družini kaj zgodilo","Я всегда имел резервный фонд на случай, если с нашей семьей что-то случится","Я всегда имела резервный фонд на случай, если с нашей семьей что-то случится",,,12
9,I never liked confronting someone.,Никога не съм обичал да се конфронтирам с някого,Никога не съм обичала да се конфронтирам с някого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigdy nie lubiłem konfrontacji z ludźmi,Nigdy nie lubiłam konfrontacji z ludźmi,,,Nikoli se nisem maral soočiti z nekom,Nikoli se nisem marala soočiti z nekom,,,Я ніколи не любив стикатися з кимось,Я ніколи не любила стикатися з кимось,2
10,I did not let my emotions take over.,,,,,,,,,,,,,,,,,,,,,,,,,,,Nisam dopustio da me emocije preuzmu,Nisam dopustila da me emocije preuzmu,Nenechal jsem se ovládnout svými emocemi,Nenechala jsem se ovládnout svými emocemi,"Nie pozwoliłem, by emocje wzięły górę","Nie pozwoliłam, by emocje wzięły górę",Nenechal som sa ovládnuť emóciami,Nenechala som sa ovládnuť emóciami,"Nisem pustil, da bi me prevzela čustva","Nisem pustila, da bi me prevzela čustva",Я не позволил эмоциям взять верх,Я не позволила эмоциям взять верх,Я не дозволив своїм емоціям взяти верх,Я не дозволила своїм емоціям взяти верх,11
11,I had to hire a bunch of guys to come help me with moving my paintings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Musiałem zatrudnić grupę ludzi, żeby pomogli mi przenieść moje obrazy","Musiałam zatrudnić grupę ludzi, żeby pomogli mi przenieść moje obrazy","Musel som najať partiu chlapov, aby mi pomohli s premiestnením mojich obrazov","Musela som najať partiu chlapov, aby mi pomohli s premiestnením mojich obrazov","Moral sem najeti kup fantov, da so mi prišli pomagati pri premikanju mojih slik","Morala sem najeti kup fantov, da so mi prišli pomagati pri premikanju mojih slik",,,,,6
12,"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pokazao sam profesionalni integritet, nadahnjujući svoje kolege da teže izvrsnosti","Pokazala sam profesionalni integritet, nadahnjujući svoje kolege da teže izvrsnosti",,,"Wykazałem się zawodową uczciwością, inspirując swoich kolegów do dążenia do doskonałości","Wykazałam się zawodową uczciwością, inspirując swoich kolegów do dążenia do doskonałości",,,,,"Я продемонстрировал профессиональную честность, вдохновив своих коллег на стремление к совершенству","Я продемонстрировала профессиональную честность, вдохновив своих коллег на стремление к совершенству","Я продемонстрував професійну чесність, надихаючи своїх колег прагнути досконалості","Я продемонструвала професійну чесність, надихаючи своїх колег прагнути досконалості",13
13,For Christmas I created a package and put it in a collection for homeless children.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
14,I saved the company before bankruptcy.,,,,,,,,,,,,,,,,,,,,,,,,,,,Spasio sam tvrtku prije bankrota,Spasila sam tvrtku prije bankrota,Zachránil jsem společnost před bankrotem,Zachránila jsem společnost před bankrotem,Uratowałem firmę przed bankructwem,Uratowałam firmę przed bankructwem,Zachránil som spoločnosť pred bankrotom,Zachránila som spoločnosť pred bankrotom,Rešil sem podjetje pred bankrotom,Rešila sem podjetje pred bankrotom,,,Я врятував компанію перед банкрутством,Я врятувала компанію перед банкрутством,13
15,I exhibited a disregard for rules and boundaries.,,,,,,,,,,,,,,,,,,,,,,,,,,,Pokazao sam nepoštivanje pravila i granica,Pokazala sam nepoštivanje pravila i granica,,,,,Prejavil som ignorovanie pravidiel a hraníc,Prejavila som ignorovanie pravidiel a hraníc,,,Я проявил пренебрежение к правилам и границам,Я проявила пренебрежение к правилам и границам,,,14
16,I based my decision on my emotions.,,,,,,,,,,,,,,,,,,,,,,,,,,,Odluku sam temeljio na svojim emocijama,Odluku sam temeljila na svojim emocijama,Rozhodl jsem se na základě svých emocí,Rozhodla jsem se na základě svých emocí,Podjąłem decyzję na podstawie emocji,Podjęłam decyzję na podstawie emocji,Rozhodol som sa na základe svojich emócií,Rozhodla som sa na základe svojich emócií,,,"Я принял решение, основываясь на своих эмоциях","Я приняла решение, основываясь на своих эмоциях",,,1
17,I often bought expensive gifts for my family.,,,,,,,,,,,,,,,,,,,,,,,,,,,Često sam kupovao skupe darove za svoju obitelj,Često sam kupovala skupe darove za svoju obitelj,Často jsem kupoval drahé dárky pro svou rodinu,Často jsem kupovala drahé dárky pro svou rodinu,Często kupowałem drogie prezenty dla mojej rodziny,Często kupowałam drogie prezenty dla mojej rodziny,Často som kupoval drahé darčeky pre svoju rodinu,Často som kupovala drahé darčeky pre svoju rodinu,Pogosto sem kupoval draga darila za svojo družino,Pogosto sem kupovala draga darila za svojo družino,Я часто покупал дорогие подарки для своей семьи,Я часто покупала дорогие подарки для своей семьи,Я часто купував дорогі подарунки для своєї родини,Я часто купувала дорогі подарунки для своєї родини,12
18,I have always been outgoing so people like me and I like to be surrounded by friends.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
19,I always demanded respect from my co-workers.,Винаги съм изисквал уважение от моите колеги,Винаги съм изисквала уважение от моите колеги,,,,,,,,,,,,,,,,,,,,,,,,,Uvijek sam zahtijevao poštovanje od svojih suradnika,Uvijek sam zahtijevala poštovanje od svojih suradnika,Vždy jsem od svých spolupracovníků vyžadoval respekt,Vždy jsem od svých spolupracovníků vyžadovala respekt,Zawsze wymagałem szacunku od moich współpracowników,Zawsze wymagałam szacunku od moich współpracowników,,,Od svojih sodelavcev sem vedno zahteval spoštovanje,Od svojih sodelavcev sem vedno zahtevala spoštovanje,Я всегда требовал уважения от своих коллег,Я всегда требовала уважения от своих коллег,Я завжди вимагав поваги від своїх колег,Я завжди вимагала поваги від своїх колег,10
20,I have had a lot of sexual partners.,Имал съм много сексуални партньори,Имала съм много сексуални партньори,,,,,,,,,,,,,,,,,,,,,,,,,,,Měl jsem spoustu sexuálních partnerů,Měla jsem spoustu sexuálních partnerů,,,Mal som veľa sexuálnych partnerov,Mala som veľa sexuálnych partnerov,Imel sem veliko spolnih partnerjev,Imela sem veliko spolnih partnerjev,У меня было много сексуальных партнёров,У меня было много сексуальных партнеров,,,15
21,I maintained strict confidentiality and adhered to ethical standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
22,"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Според мен приятелите и семейството са много важни, не мога да си представя да ги нямам в живота си и да живея сам","Според мен приятелите и семейството са много важни, не мога да си представя да ги нямам в живота си и да живея сама"," À mon avis, les amis et la famille sont très importants, je ne peux pas imaginer ne pas les avoir dans ma vie et vivre seul. "," À mon avis, les amis et la famille sont très importants, je ne peux pas imaginer ne pas les avoir dans ma vie et vivre seule. ",,,,,"Secondo me, gli amici e la famiglia sono molto importanti, non riesco a immaginare di non averli nella mia vita e di vivere da solo","Secondo me, gli amici e la famiglia sono molto importanti, non riesco a immaginare di non averli nella mia vita e di vivere da sola","Manuprāt, draugi un ģimene ir ļoti svarīgi, es nevaru iedomāties, ka manā dzīvē viņu nebūtu un dzīvotu viens","Manuprāt, draugi un ģimene ir ļoti svarīgi, es nevaru iedomāties, ka manā dzīvē viņu nebūtu un dzīvotu viena","Mano nuomone, draugai ir šeima yra labai svarbūs, neįsivaizduoju, kad jų gyvenime nebūtų ir gyvenčiau vienas","Mano nuomone, draugai ir šeima yra labai svarbūs, neįsivaizduoju, kad jų gyvenime nebūtų ir gyvenčiau viena",,,"Na minha opinião, amigos e familiares são muito importantes. Não consigo imaginar não tê-los em minha vida e viver sozinho","Na minha opinião, amigos e familiares são muito importantes. Não consigo imaginar não tê-los em minha vida e viver sozinha",,,"En mi opinión, los amigos y la familia son muy importantes, no puedo imaginarme no tenerlos en mi vida y vivir solo","En mi opinión, los amigos y la familia son muy importantes, no puedo imaginarme no tenerlos en mi vida y vivir sola",,,,,"Po mom mišljenju, prijatelji i obitelj su jako važni, ne mogu zamisliti da ih nemam u životu i živim sam","Po mom mišljenju, prijatelji i obitelj su jako važni, ne mogu zamisliti da ih nemam u životu i živim sama",,,,,,,,,,,,,5
23,Never in my life had I refused any challenge.,Никога в живота си не съм отказвал предизвикателство,Никога в живота си не съм отказвала предизвикателство,,,,,,,,,,,,,,,,,,,,,,,,,Nikad u životu nisam odbio nijedan izazov,Nikad u životu nisam odbila nijedan izazov,Nikdy v životě jsem neodmítl žádnou výzvu,Nikdy v životě jsem neodmítla žádnou výzvu,Nigdy w życiu nie odmówiłem żadnemu wyzwaniu,Nigdy w życiu nie odmówiłam żadnemu wyzwaniu,Nikdy v živote som neodmietol žiadnu výzvu,Nikdy v živote som neodmietla žiadnu výzvu,Nikoli v življenju nisem zavrnil nobenega izziva,Nikoli v življenju nisem zavrnila nobenega izziva,,,,,8
24,"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,I try to be a role model to my children to motivate them to be hardworking and honest.,,,,,,,,,,,,,,,Nipprova nkun mudell għal uliedi biex jimmotivahom biex ikunu xogħol iebes u onesti,Nipprova nkun mudell għal uliedi biex timmotivahom biex ikunu xogħol iebes u onesti,,,,,,,,,,,,,,,,,,,"Svojim otrokom poskušam biti vzor, ​​da bi jih motiviral, da bi bili delavni in pošteni","Svojim otrokom poskušam biti vzor, ​​da bi jih motivirala, da bi bili delavni in pošteni",,,,,12
26,I paid for everyone's coffee.,,,,,,,,,,,,,,,,,,,,,,,,,,,Svima sam platio kavu,Svima sam platila kavu,Zaplatil jsem všem kávu,Zaplatila jsem všem kávu,Zapłaciłem za kawę dla wszystkich,Zapłaciłam za kawę dla wszystkich,,,,,Я заплатил за кофе для всех,Я заплатила за кофе для всех,,,12
27,I wouldn't have started it unless I knew I would be able to finish.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
28,I try to avoid confrontation because I tend to cry when I am under pressure.,,,,,,,,,,,,,,,,,,,,,,,,,,,Pokušavam izbjeći sukob jer sam sklon plakati kad sam pod pritiskom,Pokušavam izbjeći sukob jer sam sklona plakati kad sam pod pritiskom,,,,,,,,,,,,,1
29,I decided to work in a non-profit organization.,,,,,,,,,,,,,,,,,,,,,,,,,,,Odlučio sam raditi u neprofitnoj organizaciji,Odlučila sam raditi u neprofitnoj organizaciji,Rozhodl jsem se pracovat v neziskové organizaci,Rozhodla jsem se pracovat v neziskové organizaci,Postanowiłem pracować w organizacji non-profit,Postanowiłam pracować w organizacji non-profit,Rozhodol som sa pracovať v neziskovej organizácii,Rozhodla som sa pracovať v neziskovej organizácii,,,Я решил работать в некоммерческой организации,Я решила работать в некоммерческой организации,Я вирішив працювати в некомерційній організації,Я вирішила працювати в некомерційній організації,3
30,I made the bed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
31,"As I performed a perfect handstand, I felt an immense sense of accomplishment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
