,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Bulgarian,195,160,196,146,160,142,183,174,174,161,184,163,170,143,165,146
Catalan,148,118,168,101,127,107,122,115,124,121,150,152,115,98,96,94
Croatian,110,99,133,106,106,81,134,132,116,102,144,109,110,95,112,108
Czech,112,89,144,104,97,75,119,126,124,107,141,126,124,91,119,110
Danish,233,205,239,186,184,188,221,224,211,203,221,208,215,174,188,181
Dutch,234,203,242,190,194,182,222,209,216,199,224,216,217,176,188,182
Estonian,229,197,238,177,187,170,202,196,201,200,221,200,205,165,177,168
English,254,215,256,207,200,197,243,251,229,215,231,222,222,194,208,221
Finnish,238,199,245,184,192,179,221,211,209,204,219,207,211,174,179,185
French,209,167,216,162,156,153,182,189,179,161,198,188,177,150,165,155
Galician,119,98,150,84,115,81,93,101,88,95,120,137,98,78,94,81
German,212,175,208,158,167,159,196,191,181,159,196,182,164,157,169,155
Greek,186,161,192,143,151,143,169,173,169,155,186,174,151,131,152,136
Hungarian,220,196,242,170,192,174,205,206,207,198,219,205,207,171,178,164
Irish,115,111,138,61,117,71,67,91,109,123,138,137,132,80,84,64
Italian,184,165,181,158,152,128,169,181,162,146,188,169,162,136,145,156
Latvian,162,149,187,127,143,121,149,138,133,140,171,161,149,120,132,115
Lithuanian,154,130,179,141,127,111,157,165,144,126,171,147,127,131,134,123
Maltese,80,58,91,27,73,33,43,57,97,102,106,87,103,51,67,46
Norwegian,237,208,237,187,189,180,223,220,212,207,220,214,214,179,191,181
Polish,102,98,129,105,96,71,115,124,119,120,148,118,118,89,101,94
Portuguese,195,154,200,150,158,144,178,175,170,164,188,176,174,144,154,140
Romanian,207,166,224,162,162,152,183,198,181,176,199,189,188,150,165,160
Russian,116,110,144,111,114,77,144,118,119,124,168,126,152,101,116,110
Slovak,117,92,132,102,97,73,115,124,118,108,139,114,108,88,113,98
Slovenian,107,94,125,102,82,77,108,115,117,103,137,114,110,82,98,103
Spanish,213,177,218,167,170,157,189,196,182,176,201,183,172,148,160,156
Swedish,241,209,248,195,194,190,227,229,218,207,225,213,214,179,190,182
Turkish,239,206,245,186,195,174,225,227,216,207,218,214,220,175,189,186
Ukrainian,78,92,110,75,82,56,98,82,89,106,127,111,119,75,83,83
